"","Province","Country","Lat","Long","1/22/20_c","1/22/20_d","1/22/20_r","1/23/20_c","1/23/20_d","1/23/20_r","1/24/20_c","1/24/20_d","1/24/20_r","1/25/20_c","1/25/20_d","1/25/20_r","1/26/20_c","1/26/20_d","1/26/20_r","1/27/20_c","1/27/20_d","1/27/20_r","1/28/20_c","1/28/20_d","1/28/20_r","1/29/20_c","1/29/20_d","1/29/20_r","1/30/20_c","1/30/20_d","1/30/20_r","1/31/20_c","1/31/20_d","1/31/20_r","2/1/20_c","2/1/20_d","2/1/20_r","2/2/20_c","2/2/20_d","2/2/20_r","2/3/20_c","2/3/20_d","2/3/20_r","2/4/20_c","2/4/20_d","2/4/20_r","2/5/20_c","2/5/20_d","2/5/20_r","2/6/20_c","2/6/20_d","2/6/20_r","2/7/20_c","2/7/20_d","2/7/20_r","2/8/20_c","2/8/20_d","2/8/20_r","2/9/20_c","2/9/20_d","2/9/20_r","2/10/20_c","2/10/20_d","2/10/20_r","2/11/20_c","2/11/20_d","2/11/20_r","2/12/20_c","2/12/20_d","2/12/20_r","2/13/20_c","2/13/20_d","2/13/20_r","2/14/20_c","2/14/20_d","2/14/20_r","2/15/20_c","2/15/20_d","2/15/20_r","2/16/20_c","2/16/20_d","2/16/20_r","2/17/20_c","2/17/20_d","2/17/20_r","2/18/20_c","2/18/20_d","2/18/20_r","2/19/20_c","2/19/20_d","2/19/20_r","2/20/20_c","2/20/20_d","2/20/20_r"
"1","Anhui","Mainland China",31.82571,117.2264,1,0,0,9,0,0,15,0,0,39,0,0,60,0,0,70,0,0,106,0,0,152,0,2,200,0,2,237,0,3,297,0,5,340,0,7,408,0,14,480,0,20,530,0,23,591,0,34,665,0,47,733,0,59,779,1,72,830,3,88,860,4,105,889,4,127,910,5,157,934,6,193,950,6,221,962,6,255,973,6,280,982,6,361,986,6,413,987,6,474
"2","Beijing","Mainland China",40.18238,116.4142,14,0,0,22,0,0,36,0,1,41,0,2,68,0,2,80,1,2,91,1,4,111,1,4,114,1,4,139,1,5,168,1,9,191,1,9,212,1,12,228,1,23,253,1,24,274,1,31,297,1,33,315,2,34,326,2,37,337,2,44,342,3,48,352,3,56,366,3,69,372,3,80,375,4,98,380,4,108,381,4,114,387,4,122,393,4,145,395,4,153
"3","Chongqing","Mainland China",30.05718,107.874,6,0,0,9,0,0,27,0,0,57,0,0,75,0,0,110,0,0,132,0,0,147,0,1,182,0,1,211,0,1,247,1,3,300,2,7,337,2,9,366,2,9,389,2,15,411,2,24,426,2,31,428,2,39,468,2,51,486,2,66,505,3,79,518,3,102,529,4,128,537,5,152,544,5,184,551,5,207,553,5,225,555,5,254,560,5,274,567,6,299
"4","Fujian","Mainland China",26.07783,117.9895,1,0,0,5,0,0,10,0,0,18,0,0,35,0,0,59,0,0,80,0,0,84,0,0,101,0,0,120,0,0,144,0,0,159,0,0,179,0,1,194,0,3,205,0,11,215,0,14,224,0,20,239,0,24,250,0,35,261,0,39,267,0,45,272,0,53,279,0,57,281,0,63,285,0,71,287,0,82,290,0,90,292,0,93,293,0,112,293,1,126
"5","Gansu","Mainland China",36.0611,103.8343,0,0,0,2,0,0,2,0,0,4,0,0,7,0,0,14,0,0,19,0,0,24,0,0,26,0,0,29,0,0,40,0,0,51,0,3,55,0,3,57,0,4,62,0,6,62,0,6,67,0,9,79,1,12,83,2,16,83,2,17,86,2,24,87,2,31,90,2,39,90,2,39,90,2,49,90,2,54,91,2,58,91,2,62,91,2,65,91,2,71
"6","Guangdong","Mainland China",23.33841,113.422,26,0,0,32,0,2,53,0,2,78,0,2,111,0,2,151,0,4,207,0,4,277,0,5,354,0,10,436,0,11,535,0,14,632,0,15,725,0,21,813,0,30,895,0,49,970,0,69,1034,1,88,1095,1,112,1131,1,141,1159,1,167,1177,1,212,1219,1,275,1241,2,314,1261,2,362,1294,2,410,1316,2,465,1322,4,524,1328,4,565,1331,5,606,1332,5,642
"7","Guangxi","Mainland China",23.82908,108.7881,2,0,0,5,0,0,23,0,0,23,0,0,36,0,0,46,0,0,51,0,2,58,0,2,78,0,2,87,0,2,100,0,2,111,0,2,127,0,7,139,0,10,150,0,13,168,0,14,172,0,17,183,0,17,195,1,18,210,1,24,215,1,33,222,1,32,222,2,33,226,2,36,235,2,44,237,2,49,238,2,53,242,2,69,244,2,86,245,2,90
"8","Guizhou","Mainland China",26.81536,106.8748,1,0,0,3,0,0,3,0,0,4,0,0,5,0,0,7,0,0,9,0,0,9,0,1,12,0,1,29,0,2,29,0,2,38,0,2,46,0,2,58,0,2,64,1,9,71,1,6,81,1,6,89,1,7,99,1,7,109,1,10,127,1,17,133,1,18,135,1,27,140,1,28,143,1,41,144,1,46,146,1,57,146,2,66,146,2,70,146,2,72
"9","Hainan","Mainland China",19.19673,109.7455,4,0,0,5,0,0,8,0,0,19,0,0,22,0,0,33,1,0,40,1,0,43,1,0,46,1,1,52,1,1,62,1,1,64,1,4,72,1,4,80,1,5,99,1,5,106,1,8,117,2,10,124,2,14,131,3,19,138,3,19,144,3,20,157,4,27,157,4,30,159,4,43,162,4,39,162,4,52,163,4,59,163,4,79,168,4,84,168,4,86
"10","Hebei","Mainland China",38.0428,114.5149,1,0,0,1,1,0,2,1,0,8,1,0,13,1,0,18,1,0,33,1,0,48,1,0,65,1,0,82,1,0,96,1,0,104,1,3,113,1,3,126,1,4,135,1,6,157,1,13,172,1,22,195,1,30,206,2,34,218,2,41,239,2,48,251,2,54,265,3,68,283,3,87,291,3,101,300,3,105,301,3,122,306,4,136,306,4,152,307,5,169
